id_bien,no_voie,type_voie,voie,id_codedep_codecom,type_local,code_type_local,nb_pieces,surface_carrez,surface_reelle
1,347,RUE,DU CHATEAU,01103,Appartement,2,3,48.22,48
2,4,BD,EDOUARD BAUDOIN,06004,Appartement,2,1,39.11,40
3,20,RUE,MARCEAU,06088,Appartement,2,3,80.25,82
4,550,RTE,DES VESPINS RN7,06123,Appartement,2,1,27.51,27
5,9300,RES,LES ARPEGES BD DES ABA,13005,Appartement,2,2,47.33,47
6,27,RUE,DU GRAND MADIER,13028,Appartement,2,1,25.31,24
7,360,AV,DU PRADO,13208,Appartement,2,3,70.84,70
8,5076,PARC,DESSUARD,13212,Appartement,2,3,67.19,66
9,1194,RUE,DE NORMANDIE,14338,Appartement,2,1,18.89,19
10,30,ALL,DES NOISETIERS,14366,Maison,1,4,105.37,99
11,11,RUE,ROUGET DE L ISLE,17300,Appartement,2,2,31.99,34
12,13,RUE,BERTHE MORISOT,25056,Maison,1,5,96.21,100
13,1,RUE,DU POHER,29232,Appartement,2,1,30.86,31
14,2,RUE,DES JARDINS,29260,Appartement,2,3,66.21,67
15,5,AV,DU COMMANDANT TAILLANDIER,31555,Appartement,2,2,45.58,46
16,15,RUE,PAUL DENUCE,33063,Appartement,2,1,23.2,27
17,176,RUE,SAINTE CATHERINE,33063,Appartement,2,1,13.1,12
18,822,nan,LA BAYNASSE SUD,33097,Appartement,2,2,29.0,29
19,9,RUE,DE BELFORT,33449,Appartement,2,2,51.4,51
20,183,RUE,MARC ANTOINE MENARD,34145,Appartement,2,1,16.79,18
21,50,AV,ANDRE CHASSEFIERE,34150,Appartement,2,2,51.4,51
22,8,PL,DES ETATS DU LANGUEDOC,34199,Appartement,2,3,68.22,85
23,7,RUE,JEAN-JACQUES ROUSSEAU,37156,Maison,1,4,88.45,89
24,197,AV,DE GRAMMONT,37261,Appartement,2,2,42.94,46
25,48,BD,MAL FOCH,38185,Appartement,2,4,76.48,77
26,210,RTE,DU TAILLEUR,40266,Maison,1,3,48.23,53
27,199,RES,MER ET GOLF-LE BOUCANIER,40328,Appartement,2,2,49.91,48
28,3,ALL,JEAN PERRIN,44143,Appartement,2,2,46.3,45
29,12,RUE,FERDINAND BUISSON,44184,Appartement,2,2,47.24,48
