id_codedep_codecom,coddep,commune,pmun,pcap,ptot
01001,01,L'ABERGEMENT-CLÉMENCIAT,779,19,798
01002,01,L'ABERGEMENT-DE-VAREY,256,1,257
01004,01,AMBÉRIEU-EN-BUGEY,14134,380,14514
01005,01,AMBÉRIEUX-EN-DOMBES,1751,25,1776
01006,01,AMBLÉON,112,6,118
01007,01,AMBRONAY,2800,115,2915
01008,01,AMBUTRIX,762,15,777
01009,01,ANDERT-ET-CONDON,326,9,335
01010,01,ANGLEFORT,1105,17,1122
01011,01,APREMONT,368,11,379
01012,01,ARANC,329,4,333
01013,01,ARANDAS,143,4,147
01014,01,ARBENT,3349,93,3442
01015,01,ARBOYS EN BUGEY,650,17,667
01016,01,ARBIGNY,460,9,469
01017,01,ARGIS,457,16,473
01019,01,ARMIX,27,4,31
01021,01,ARS-SUR-FORMANS,1457,28,1485
01022,01,ARTEMARE,1249,18,1267
01023,01,ASNIÈRES-SUR-SAÔNE,76,0,76
01024,01,ATTIGNAT,3251,65,3316
01025,01,BÂGÉ-DOMMARTIN,4065,106,4171
01026,01,BÂGÉ-LE-CHÂTEL,973,68,1041
01027,01,BALAN,2563,52,2615
01028,01,BANEINS,617,17,634
01029,01,BEAUPONT,685,8,693
01030,01,BEAUREGARD,829,15,844
01031,01,BELLIGNAT,3652,234,3886
01032,01,BÉLIGNEUX,3376,29,3405
01033,01,VALSERHÔNE,16378,350,16728
01034,01,BELLEY,9182,400,9582
01035,01,BELLEYDOUX,310,8,318
01036,01,VALROMEY-SUR-SÉRAN,1326,19,1345
01037,01,BÉNONCES,308,4,312
01038,01,BÉNY,754,21,775
01039,01,BÉON,443,8,451
01040,01,BÉRÉZIAT,486,10,496
01041,01,BETTANT,748,21,769
01042,01,BEY,291,14,305
01043,01,BEYNOST,4754,113,4867
01044,01,BILLIAT,632,16,648
01045,01,BIRIEUX,283,4,287
01046,01,BIZIAT,895,8,903
01047,01,BLYES,1182,32,1214
01049,01,LA BOISSE,3283,73,3356
01050,01,BOISSEY,365,4,369
01051,01,BOLOZON,91,1,92
01052,01,BOULIGNEUX,328,6,334
01053,01,BOURG-EN-BRESSE,41111,1742,42853
01054,01,BOURG-SAINT-CHRISTOPHE,1457,32,1489
01056,01,BOYEUX-SAINT-JÉRÔME,349,5,354
01057,01,BOZ,519,16,535
01058,01,BRÉGNIER-CORDON,828,21,849
01060,01,BRÉNOD,493,21,514
01061,01,BRENS,1144,35,1179
01062,01,BRESSOLLES,934,22,956
01063,01,BRION,533,7,540
01064,01,BRIORD,1070,20,1090
01065,01,BUELLAS,1812,64,1876
01066,01,LA BURBANCHE,89,1,90
01067,01,CEIGNES,255,13,268
01068,01,CERDON,775,15,790
01069,01,CERTINES,1503,39,1542
01071,01,CESSY,4808,117,4925
01072,01,CEYZÉRIAT,3194,62,3256
01073,01,CEYZÉRIEU,1000,25,1025
01074,01,CHALAMONT,2589,35,2624
01075,01,CHALEINS,1382,31,1413
01076,01,CHALEY,125,3,128
01077,01,CHALLES-LA-MONTAGNE,196,3,199
01078,01,CHALLEX,1557,33,1590
01079,01,CHAMPAGNE-EN-VALROMEY,811,31,842
01080,01,CHAMPDOR-CORCELLES,643,14,657
01081,01,CHAMPFROMIER,735,21,756
01082,01,CHANAY,628,14,642
01083,01,CHANEINS,927,17,944
01084,01,CHANOZ-CHÂTENAY,895,18,913
